case,source_mesh,noise_pct,true_dip,estimated_dip,abs_error,top_family,expected_family,family_correct,top_template,correlation,score,weight,n_eff
Covered dip 32,separated_fine_mesh_dx0.125,7.000000000000001,32.0,35.0,3.0,covered_dip,covered_dip,True,COV_d35_c4.0,0.9575115906892974,0.8700592398080047,0.19273566096998362,11.730748022704285
Covered dip 32,separated_fine_mesh_dx0.125,10.0,32.0,40.0,8.0,covered_dip,covered_dip,True,COV_d40_c6.0,0.9444768602940263,0.8445060388238261,0.1761332790716174,11.617136674781827
Groundwater 18,separated_fine_mesh_dx0.125,1.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9856387198464974,0.9347955253441474,0.18167939492234064,17.285363756205307
Groundwater 18,separated_fine_mesh_dx0.125,3.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9853609800200506,0.9340284991141342,0.1821377360273526,17.312302871515573
Groundwater 18,separated_fine_mesh_dx0.125,5.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.9847565829848798,0.9323751448386337,0.18351950264716788,17.078869032748344
Groundwater 18,separated_fine_mesh_dx0.125,7.000000000000001,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.98292178260255,0.9274774038880763,0.17943395244651272,17.241452580867822
Groundwater 18,separated_fine_mesh_dx0.125,10.0,18.0,25.0,7.0,clean_dip,groundwater,False,CD_d25_x35,0.978807240740042,0.9170440100427804,0.175470638424622,17.886091046291625
Fault zone 40,separated_fine_mesh_dx0.125,1.0,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.9750454406657143,0.9080243941248682,0.2530709336279104,7.187570195500537
Fault zone 40,separated_fine_mesh_dx0.125,3.0,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.9736162956047703,0.904702822391197,0.249734943209809,7.315251227309585
Fault zone 40,separated_fine_mesh_dx0.125,5.0,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.9738582708890803,0.9052615418184518,0.25418430272401177,7.2125156648906055
Fault zone 40,separated_fine_mesh_dx0.125,7.000000000000001,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.9723246802855383,0.9017445304714344,0.25434976436972223,7.172924608331596
Fault zone 40,separated_fine_mesh_dx0.125,10.0,40.0,35.0,5.0,clean_dip,fault_zone,False,CD_d35_x50,0.9654112176735619,0.8865063330482628,0.2500631404724591,7.521217907960796
Basement 18,separated_fine_mesh_dx0.125,1.0,18.0,15.0,3.0,basement,basement,True,BM_d15,0.9970552995528172,0.9740325699056693,0.17763082926000792,12.837084663008183
Basement 18,separated_fine_mesh_dx0.125,3.0,18.0,15.0,3.0,basement,basement,True,BM_d15,0.9963690661911402,0.9708040884777354,0.17649169317341393,12.906747809848175
Basement 18,separated_fine_mesh_dx0.125,5.0,18.0,15.0,3.0,basement,basement,True,BM_d15,0.9945439049615953,0.9632054763674429,0.16548714628026756,13.197018778215684
Basement 18,separated_fine_mesh_dx0.125,7.000000000000001,18.0,15.0,3.0,basement,basement,True,BM_d15,0.9933234835761858,0.9586568864531861,0.16277355212954417,13.05726021356299
Basement 18,separated_fine_mesh_dx0.125,10.0,18.0,15.0,3.0,basement,basement,True,BM_d15,0.9818031352034055,0.9245717132147231,0.1500771319486587,13.442970445664937
